# hard hit
59.66 23
59.77 35
59.88 60
60.00 15
60.11 9
60.22 33
60.33 57
60.45 16
60.56 34
60.67 0
60.78 38
60.89 54
61.01 7
61.12 1
61.23 16
61.34 35
61.45 60
61.57 25
61.68 18
61.79 0
61.90 43
62.02 26
62.13 10
62.24 2
62.35 8
62.46 16
62.58 52
62.69 37
62.80 60
62.91 60
63.02 33
63.14 14
63.25 32
63.36 44
63.47 16
63.59 55
63.70 37
63.81 35
63.92 30
64.03 0
64.15 38
64.26 25
64.37 17
64.48 33
64.59 33
64.71 12
64.82 12
64.93 8
65.04 24
65.16 39
65.27 16
65.38 9
65.49 53
65.60 64
65.72 30
65.83 11
65.94 10
66.05 42
66.16 50
66.28 13
66.39 7
66.50 16
66.61 55
66.73 34
66.84 0
66.95 5
67.06 33
67.17 24
67.29 1
67.40 9
67.51 38
67.62 49
67.73 12
67.85 19
67.96 21
68.07 34
68.18 49
68.30 49
68.41 22
68.52 55
68.63 53
68.74 13
68.86 23
68.97 16
69.08 34
69.19 34
69.30 8
69.42 9
69.53 36
69.64 35
69.75 27
69.87 29
69.98 12
70.09 32
70.20 9
70.31 25
70.43 28
70.54 1
70.65 6
70.76 34
70.87 64
70.99 41
71.10 4
71.21 25
71.32 43
71.44 12
71.55 19
71.66 18
71.77 31
71.88 38
72.00 16
72.11 14
72.22 32
72.33 40
72.44 3
72.56 2
72.67 7
72.78 40
72.89 39
73.01 10
73.12 37
73.23 23
73.34 28
73.45 29
73.57 24
73.68 17
73.79 34
73.90 64
74.01 16
74.13 5
74.24 18
74.35 25
74.46 25
74.58 10
74.69 21
74.80 44
74.91 37
75.02 31
75.14 10
75.25 10
75.36 1
75.47 6
75.58 21
75.70 3
75.81 4
75.92 12
76.03 19
76.15 45
76.26 14
76.37 12
76.48 24
76.59 30
76.71 6
76.82 44
76.93 46
77.04 36
77.15 29
77.27 9
77.38 22
77.49 29
77.60 10
77.72 14
77.83 4
77.94 8
78.05 9
78.16 4
78.28 2
78.39 22
78.50 9
78.61 6
78.72 3
78.84 6
78.95 3
79.06 39
79.17 57
79.29 30
79.40 5
79.51 34
79.62 39
79.73 6
79.85 6
79.96 16
80.07 24
80.18 27
80.29 12
80.41 9
80.52 10
80.63 20
80.74 15
80.86 1
80.97 0
81.08 14
81.19 13
81.30 23
81.42 31
81.53 15
81.64 18
81.75 39
81.86 38
81.98 6
82.09 39
82.20 58
82.31 35
82.43 12
82.54 8
82.65 10
82.76 8
82.87 1
82.99 20
83.10 23
83.21 20
83.32 0
83.43 6
83.55 4
83.66 11
83.77 4
83.88 13
84.00 19
84.11 2
84.22 16
84.33 40
84.44 52
84.56 33
84.67 1
84.78 26
84.89 31
85.00 4
85.12 26
85.23 29
85.34 16
85.45 2
85.57 0
85.68 7
85.79 16
85.90 2
86.01 20
86.13 18
86.24 3
86.35 10
86.46 32
