# mic drop
59.66 3
59.77 3
59.88 2
60.00 2
60.11 3
60.22 3
60.33 4
60.45 4
60.56 4
60.67 3
60.78 3
60.89 3
61.01 3
61.12 3
61.23 4
61.34 4
61.45 4
61.57 4
61.68 3
61.79 3
61.90 3
62.02 3
62.13 4
62.24 4
62.35 4
62.46 4
62.58 3
62.69 3
62.80 1
62.91 14
63.02 2
63.14 9
63.25 8
63.36 7
63.47 2
63.59 2
63.70 0
63.81 3
63.92 4
64.03 6
64.15 3
64.26 3
64.37 4
64.48 4
64.59 2
64.71 1
64.82 1
64.93 3
65.04 5
65.16 7
65.27 6
65.38 3
65.49 1
65.60 1
65.72 3
65.83 4
65.94 5
66.05 5
66.16 5
66.28 4
66.39 2
66.50 2
66.61 2
66.73 3
66.84 4
66.95 5
67.06 5
67.17 5
67.29 3
67.40 2
67.51 1
67.62 2
67.73 4
67.85 5
67.96 5
68.07 4
68.18 4
68.30 3
68.41 2
68.52 3
68.63 4
68.74 5
68.86 5
68.97 5
69.08 4
69.19 4
69.30 3
69.42 3
69.53 4
69.64 5
69.75 6
69.87 6
69.98 5
70.09 4
70.20 4
70.31 4
70.43 4
70.54 5
70.65 6
70.76 6
70.87 6
70.99 5
71.10 4
71.21 4
71.32 4
71.44 5
71.55 5
71.66 6
71.77 6
71.88 5
72.00 5
72.11 4
72.22 4
72.33 4
72.44 5
72.56 6
72.67 6
72.78 6
72.89 5
73.01 5
73.12 4
73.23 5
73.34 5
73.45 5
73.57 5
73.68 5
73.79 5
73.90 5
74.01 4
74.13 4
74.24 4
74.35 5
74.46 5
74.58 5
74.69 5
74.80 5
74.91 5
75.02 4
75.14 5
75.25 5
75.36 5
75.47 6
75.58 5
75.70 5
75.81 5
75.92 5
76.03 4
76.15 5
76.26 5
76.37 6
76.48 6
76.59 5
76.71 5
76.82 5
76.93 4
77.04 5
77.15 5
77.27 5
77.38 5
77.49 5
77.60 5
77.72 5
77.83 5
77.94 5
78.05 5
78.16 5
78.28 5
78.39 5
78.50 5
78.61 5
78.72 5
78.84 4
78.95 5
79.06 5
79.17 5
79.29 5
79.40 5
79.51 5
79.62 5
79.73 5
79.85 5
79.96 5
80.07 5
80.18 5
80.29 5
80.41 5
80.52 5
80.63 5
80.74 5
80.86 5
