# very soft hit
0.00 60
0.11 39
0.23 11
0.34 16
0.45 23
0.56 19
0.68 30
0.79 34
0.90 41
1.02 36
1.13 15
1.24 1
1.35 3
1.47 3
1.58 13
1.69 35
1.81 38
1.92 31
2.03 17
2.14 11
2.26 1
2.37 21
2.48 43
2.60 36
2.71 24
2.82 8
2.93 3
3.05 11
3.16 17
3.27 3
3.39 15
3.50 16
3.61 12
3.72 14
3.84 15
3.95 20
4.06 12
4.18 12
4.29 22
4.40 22
4.51 21
4.63 19
4.74 12
4.85 1
4.97 0
5.08 10
5.19 2
5.30 8
5.42 6
5.53 6
5.64 11
5.76 11
5.87 3
5.98 8
6.09 8
6.21 5
6.32 14
6.43 16
6.55 11
6.66 4
6.77 7
6.88 15
7.00 8
7.11 0
7.22 2
7.34 1
7.45 0
7.56 0
7.67 3
7.79 6
7.90 2
8.01 2
8.13 15
8.24 16
8.35 6
8.46 3
8.58 0
8.69 1
8.80 3
8.92 6
9.03 8
9.14 3
9.25 3
9.37 7
9.48 4
9.59 0
9.71 0
9.82 5
9.93 12
10.04 9
10.16 6
10.27 7
10.38 8
10.50 0
10.61 1
10.72 2
10.83 8
10.95 6
11.06 2
11.17 0
11.29 0
11.40 4
11.51 7
11.62 6
11.74 5
11.85 1
11.96 6
12.08 11
12.19 8
12.30 2
12.41 3
12.53 1
12.64 2
12.75 1
12.87 2
12.98 7
13.09 5
13.20 1
13.32 0
13.43 2
13.54 10
13.66 10
13.77 3
13.88 3
13.99 2
14.11 5
14.22 9
14.33 10
14.45 1
14.56 1
14.67 2
14.78 0
14.90 0
15.01 5
15.12 10
15.24 5
15.35 4
15.46 7
15.57 6
15.69 7
15.80 4
15.91 4
16.03 6
16.14 2
16.25 0
16.36 7
16.48 9
16.59 2
16.70 3
16.82 3
16.93 0
17.04 3
17.15 0
17.27 5
17.38 2
17.49 6
17.61 8
17.72 8
17.83 1
17.94 5
18.06 1
18.17 4
18.28 3
18.40 3
18.51 4
18.62 4
18.73 0
18.85 0
18.96 1
19.07 0
19.19 3
19.30 6
19.41 3
19.52 4
19.64 1
19.75 1
19.86 5
19.98 0
20.09 4
20.20 3
20.31 4
20.43 5
20.54 4
20.65 5
20.77 0
20.88 1
20.99 2
21.10 3
21.22 6
21.33 5
21.44 3
21.56 0
21.67 1
21.78 0
21.89 0
22.01 1
22.12 0
22.23 0
22.35 3
22.46 2
22.57 1
22.68 4
22.80 6
